ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,actual_loan_status,approval_probability,approval_score,approval_band,decision
9083,0.0,228.0,360.0,1.0,True,True,False,False,False,False,False,True,False,True,0.81,81.0,Highly Likely Approved,Approve
4310,0.0,130.0,360.0,0.8421985815602837,True,True,False,False,False,False,False,True,False,True,0.82,82.0,Highly Likely Approved,Approve
4167,1447.0,158.0,360.0,1.0,True,True,False,True,False,False,False,False,False,True,0.755,75.5,Highly Likely Approved,Approve
2900,0.0,71.0,360.0,1.0,False,False,False,False,False,False,False,False,False,True,0.62,62.0,Moderately Likely Approved,Manual Review
2718,0.0,70.0,360.0,1.0,True,False,False,False,False,False,False,True,False,True,0.93,93.0,Highly Likely Approved,Approve
1782,2232.0,107.0,360.0,1.0,True,True,True,False,False,False,False,False,False,True,0.71,71.0,Moderately Likely Approved,Manual Review
3717,0.0,120.0,360.0,1.0,True,True,False,True,False,False,False,True,False,True,0.98,98.0,Highly Likely Approved,Approve
3000,0.0,66.0,360.0,1.0,True,True,False,False,False,False,True,False,True,True,0.685,68.5,Moderately Likely Approved,Manual Review
2647,1587.0,173.0,360.0,1.0,True,True,False,False,True,True,False,False,False,False,0.77,77.0,Highly Likely Approved,Approve
1000,3022.0,110.0,360.0,1.0,True,True,True,False,False,False,True,False,True,False,0.55,55.0,Moderately Likely Approved,Manual Review
5000,0.0,72.0,360.0,0.0,True,True,False,True,False,False,False,True,False,False,0.3,30.0,Low Approval Chance,Reject
3015,2188.0,153.0,360.0,1.0,True,True,False,False,False,False,False,False,False,True,0.79,79.0,Highly Likely Approved,Approve
2071,754.0,94.0,480.0,1.0,True,True,False,False,True,True,False,True,False,True,0.64,64.0,Moderately Likely Approved,Manual Review
3601,1590.0,146.41216216216216,360.0,1.0,True,True,False,True,False,True,False,False,False,True,0.675,67.5,Moderately Likely Approved,Manual Review
3316,3500.0,88.0,360.0,1.0,True,True,False,True,False,False,True,False,True,True,0.85,85.0,Highly Likely Approved,Approve
3013,3033.0,95.0,300.0,0.8421985815602837,True,True,False,False,False,False,False,False,True,True,0.89,89.0,Highly Likely Approved,Approve
2479,0.0,59.0,360.0,1.0,True,False,False,False,False,False,False,False,True,True,0.75,75.0,Highly Likely Approved,Approve
4843,3806.0,151.0,360.0,1.0,True,False,False,False,False,False,False,True,False,True,0.745,74.5,Moderately Likely Approved,Manual Review
3155,1779.0,140.0,360.0,1.0,True,True,True,False,False,False,False,True,False,True,0.805,80.5,Highly Likely Approved,Approve
4600,0.0,73.0,180.0,1.0,True,True,False,False,False,False,False,True,False,True,0.855,85.5,Highly Likely Approved,Approve
2213,1125.0,146.41216216216216,360.0,1.0,True,True,False,False,False,False,False,False,True,True,0.73,73.0,Moderately Likely Approved,Manual Review
5000,3667.0,236.0,360.0,1.0,True,True,False,True,False,False,False,True,False,True,0.945,94.5,Highly Likely Approved,Approve
4758,0.0,158.0,480.0,1.0,True,True,False,False,False,False,False,True,False,True,0.365,36.5,Low Approval Chance,Reject
6875,0.0,200.0,360.0,1.0,True,True,True,False,False,False,False,True,False,True,0.76,76.0,Highly Likely Approved,Approve
13262,0.0,40.0,360.0,1.0,False,False,True,False,False,False,False,False,True,True,0.71,71.0,Moderately Likely Approved,Manual Review
8333,3750.0,187.0,360.0,1.0,True,False,False,False,False,False,False,False,False,True,0.64,64.0,Moderately Likely Approved,Manual Review
1958,2436.0,131.0,360.0,1.0,True,True,True,False,False,True,False,False,False,True,0.665,66.5,Moderately Likely Approved,Manual Review
3418,0.0,127.0,360.0,1.0,True,False,False,False,False,False,False,True,False,False,0.905,90.5,Highly Likely Approved,Approve
3813,0.0,116.0,180.0,1.0,False,False,False,False,False,False,False,False,True,True,0.745,74.5,Moderately Likely Approved,Manual Review
4106,0.0,40.0,180.0,1.0,True,True,False,False,True,False,False,False,False,True,0.66,66.0,Moderately Likely Approved,Manual Review
3200,700.0,70.0,360.0,1.0,True,True,False,True,False,False,False,False,True,True,0.765,76.5,Highly Likely Approved,Approve
2330,4486.0,100.0,360.0,1.0,False,True,False,False,False,False,False,True,False,True,0.945,94.5,Highly Likely Approved,Approve
2875,1750.0,105.0,360.0,1.0,True,True,False,False,False,True,False,True,False,True,0.975,97.5,Highly Likely Approved,Approve
3229,2739.0,110.0,360.0,1.0,True,False,False,False,False,False,False,False,True,True,0.785,78.5,Highly Likely Approved,Approve
10000,1666.0,225.0,360.0,1.0,False,False,False,False,False,False,False,False,False,False,0.77,77.0,Highly Likely Approved,Approve
6096,0.0,218.0,360.0,0.0,True,True,False,False,False,True,False,False,False,False,0.2,20.0,Low Approval Chance,Reject
3708,2569.0,173.0,360.0,1.0,True,True,False,False,False,False,False,False,True,False,0.885,88.5,Highly Likely Approved,Approve
5703,0.0,128.0,360.0,1.0,True,True,False,False,True,False,False,False,True,True,0.955,95.5,Highly Likely Approved,Approve
2708,1167.0,97.0,360.0,1.0,True,True,False,True,False,False,False,True,False,True,0.96,96.0,Highly Likely Approved,Approve
1378,1881.0,167.0,360.0,1.0,False,True,False,True,False,False,False,False,True,False,0.595,59.5,Moderately Likely Approved,Manual Review
5316,0.0,136.0,360.0,1.0,True,False,False,False,False,False,False,False,True,True,0.95,95.0,Highly Likely Approved,Approve
2239,2524.0,128.0,360.0,1.0,True,True,True,False,False,True,False,False,True,True,0.72,72.0,Moderately Likely Approved,Manual Review
10000,0.0,155.0,360.0,1.0,True,True,True,False,False,False,True,False,False,False,0.855,85.5,Highly Likely Approved,Approve
2785,2016.0,110.0,360.0,1.0,True,True,False,False,False,False,False,False,False,True,0.985,98.5,Highly Likely Approved,Approve
2014,1929.0,74.0,360.0,1.0,True,False,False,False,False,False,False,False,True,True,0.62,62.0,Moderately Likely Approved,Manual Review
3917,0.0,124.0,360.0,1.0,True,True,False,True,False,True,False,True,False,True,0.94,94.0,Highly Likely Approved,Approve
